CustomerID,Date,SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Churned,ChurnDate,Location,HouseholdSize,PrimaryDevice,BillingCycle,IsAutoRenew
CUST001,2025-04-01,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-02,Basic,36-50,1,25,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-03,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-04,Basic,36-50,1,51,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-05,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-06,Basic,36-50,1,17,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-07,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-08,Basic,36-50,1,42,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-09,Basic,36-50,1,22,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-10,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-11,Basic,36-50,1,38,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-12,Basic,36-50,1,34,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-13,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-14,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-15,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-16,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-17,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-18,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-19,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-20,Basic,36-50,1,31,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-21,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-22,Basic,36-50,0,0,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-23,Basic,36-50,1,47,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-24,Basic,36-50,1,11,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-25,Basic,36-50,1,20,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-26,Basic,36-50,1,23,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-27,Basic,36-50,1,33,Sports,0,,East,3,Tablet,Quarterly,0
CUST001,2025-04-28,Basic,36-50,1,60,Sports,0,,East,3,Tablet,Quarterly,0
