CustomerID,Date,SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Churned,ChurnDate
CUST001,4/1/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/2/2025,Basic,36-50,1,25,Sports,FALSE,
CUST001,4/3/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/4/2025,Basic,36-50,1,51,Sports,FALSE,
CUST001,4/5/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/6/2025,Basic,36-50,1,17,Sports,FALSE,
CUST001,4/7/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/8/2025,Basic,36-50,1,42,Sports,FALSE,
CUST001,4/9/2025,Basic,36-50,1,22,Sports,FALSE,
CUST001,4/10/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/11/2025,Basic,36-50,1,38,Sports,FALSE,
CUST001,4/12/2025,Basic,36-50,1,34,Sports,FALSE,
CUST001,4/13/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/14/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/15/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/16/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/17/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/18/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/19/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/20/2025,Basic,36-50,1,31,Sports,FALSE,
CUST001,4/21/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/22/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/23/2025,Basic,36-50,1,47,Sports,FALSE,
CUST001,4/24/2025,Basic,36-50,1,11,Sports,FALSE,
CUST001,4/25/2025,Basic,36-50,1,20,Sports,FALSE,
CUST001,4/26/2025,Basic,36-50,1,23,Sports,FALSE,
CUST001,4/27/2025,Basic,36-50,1,33,Sports,FALSE,
CUST001,4/28/2025,Basic,36-50,1,60,Sports,FALSE,
CUST001,4/29/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,4/30/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,5/1/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,5/2/2025,Basic,36-50,1,53,Sports,FALSE,
CUST001,5/3/2025,Basic,36-50,1,50,Sports,FALSE,
CUST001,5/4/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,5/5/2025,Basic,36-50,1,40,Sports,FALSE,
CUST001,5/6/2025,Basic,36-50,1,54,Sports,FALSE,
CUST001,5/7/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,5/8/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,5/9/2025,Basic,36-50,1,29,Sports,FALSE,
CUST001,5/10/2025,Basic,36-50,1,35,Sports,FALSE,
CUST001,5/11/2025,Basic,36-50,1,51,Sports,FALSE,
CUST001,5/12/2025,Basic,36-50,1,60,Sports,FALSE,
CUST001,5/13/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,5/14/2025,Basic,36-50,1,47,Sports,FALSE,
CUST001,5/15/2025,Basic,36-50,1,33,Sports,FALSE,
CUST001,5/16/2025,Basic,36-50,1,21,Sports,FALSE,
CUST001,5/17/2025,Basic,36-50,1,19,Sports,FALSE,
CUST001,5/18/2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,5/19/2025,Basic,36-50,1,51,Sports,FALSE,
CUST001,5/20/2025,Basic,36-50,1,17,Sports,FALSE,
CUST001,5/21/2025,Basic,36-50,1,52,Sports,FALSE,
CUST001,5/22/2025,Basic,36-50,1,48,Sports,TRUE,5/22/2025
CUST002,4/1/2025,Basic,26-35,0,0,Documentaries,FALSE,
CUST002,4/2/2025,Basic,26-35,0,0,Documentaries,FALSE,
CUST002,4/3/2025,Basic,26-35,0,0,Documentaries,FALSE,
CUST002,4/4/2025,Basic,26-35,0,0,Documentaries,FALSE,
CUST002,4/5/2025,Basic,26-35,1,48,Documentaries,FALSE,
CUST002,4/6/2025,Basic,26-35,0,0,Documentaries,FALSE,
